a,b
17,79477014
7,100770379
21,47531364
5,151040657
21,47531328
7,73442503
17,79477015
10,17270258
21,47531328
21,47531364
21,47531364
7,73442500
17,79477034
10,17271277
21,47518033
21,47531328
6,75794042
7,73442488
21,47518011
5,135385205
21,47518033
21,47518033
9,137533620
7,73442427
2,238233417
7,45952197
2,238233417
21,47518033
21,47518011
7,73442119
2,238233417
13,38137470
2,238233417
2,238233417
10,17271277
15,39873294
2,238232728
5,151040657
2,238232728
2,238233417
10,17270258
8,70378859
2,238232655
7,45951949
2,238232655
2,238232728
21,47401651
8,70378859
2,238232655
13,38136720
2,238232655
2,238232655
2,216279384
13,38137470
2,238232655
13,38136726
2,238232655
2,238232655
2,189839046
12,57522282
17,48260650
13,38136722
MT,5904
2,238232655
2,189839099
11,62201016
21,47401651
13,38136728
21,47518011
MT,5904
2,217536828
11,62259283
2,216225870
13,38136771
2,216279384
15,39873294
5,151040657
11,62283377
7,5566782
5,135364691
21,47401651
21,47518011
MT,5904
11,62201018
10,17271277
5,135364584
15,39873294
2,216225870
15,39873294
13,38136720
10,17270258
7,94023873
2,216225870
21,47401651
2,216225870
13,38136726
15,39873294
2,216225870
7,94023873
2,216225588
7,94023873
13,38136722
2,216225589
17,48260650
2,216225588
2,216225589
2,216225588
13,38136728
2,216225588
2,216225589
2,216225589
2,216225585
2,216225585
13,38136771
2,216225585
2,216225585
2,216225585
2,216225585
2,216225585
3,112323948
2,216225585
2,216225585
2,216225585
2,216225163
2,216225589
15,48700503
2,216225163
2,216225588
2,216225163
2,216225177
2,216225163
3,112323407
2,216225177
2,216225163
2,216225177
2,216225177
2,216225177
MT,5904
2,216225177
2,216225177
2,216225177
2,216225177
2,216225177
6,32008931
2,216225177
2,216225177
2,216225177
2,216225177
2,216225177
6,32008932
2,216225177
2,216225177
2,216225177
2,216225181
2,216225177
7,45952197
2,216225181
2,216225177
2,216225181
2,216225181
2,216225181
7,45951949
2,216225181
2,216225181
2,216225181
2,216225181
2,216225181
22,33197687
2,216225181
2,216225181
2,216225181
2,216225181
2,216225181
22,32908539
2,216225181
2,216225181
2,216225181
7,94023873
2,216225181
22,32908542
7,94023873
2,216225181
17,48260650
17,48260650
17,48260650
2,217536828
